feature,importance
AMT_INCOME_TOTAL,5.799999999999999
AMT_CREDIT,24.0
AMT_ANNUITY,80.39999999999999
AMT_GOODS_PRICE,43.0
REGION_POPULATION_RELATIVE,22.0
DAYS_BIRTH,66.39999999999999
DAYS_EMPLOYED,17.8
DAYS_REGISTRATION,31.200000000000003
DAYS_ID_PUBLISH,37.4
OWN_CAR_AGE,35.2
FLAG_WORK_PHONE,18.6
REGION_RATING_CLIENT_W_CITY,19.200000000000003
HOUR_APPR_PROCESS_START,7.6
REG_CITY_NOT_LIVE_CITY,11.6
EXT_SOURCE_1,13.0
EXT_SOURCE_2,18.0
EXT_SOURCE_3,46.0
APARTMENTS_AVG,6.6000000000000005
BASEMENTAREA_AVG,4.0
YEARS_BEGINEXPLUATATION_AVG,4.6
YEARS_BUILD_AVG,4.6
COMMONAREA_AVG,3.2
ENTRANCES_AVG,5.6
FLOORSMAX_AVG,6.800000000000001
LANDAREA_AVG,3.5999999999999996
LIVINGAPARTMENTS_AVG,3.8
LIVINGAREA_AVG,7.0
NONLIVINGAREA_AVG,3.8
APARTMENTS_MODE,9.6
BASEMENTAREA_MODE,3.4000000000000004
YEARS_BEGINEXPLUATATION_MODE,6.6
YEARS_BUILD_MODE,6.2
COMMONAREA_MODE,5.199999999999999
LANDAREA_MODE,4.799999999999999
LIVINGAPARTMENTS_MODE,3.8
LIVINGAREA_MODE,2.4
NONLIVINGAREA_MODE,1.4
APARTMENTS_MEDI,3.2
BASEMENTAREA_MEDI,0.8
YEARS_BEGINEXPLUATATION_MEDI,7.6
COMMONAREA_MEDI,1.6
LANDAREA_MEDI,3.2
LIVINGAPARTMENTS_MEDI,3.4
LIVINGAREA_MEDI,5.0
NONLIVINGAREA_MEDI,2.4
TOTALAREA_MODE,10.8
OBS_30_CNT_SOCIAL_CIRCLE,3.0000000000000004
DEF_30_CNT_SOCIAL_CIRCLE,20.0
DEF_60_CNT_SOCIAL_CIRCLE,11.8
DAYS_LAST_PHONE_CHANGE,15.8
CODE_GENDER_F,54.2
NAME_INCOME_TYPE_State servant,12.0
NAME_INCOME_TYPE_Working,5.6
NAME_EDUCATION_TYPE_Higher education,17.8
NAME_EDUCATION_TYPE_Secondary / secondary special,11.4
NAME_FAMILY_STATUS_Married,33.8
OCCUPATION_TYPE_Core staff,13.600000000000001
ORGANIZATION_TYPE_Construction,9.400000000000002
ORGANIZATION_TYPE_Military,8.799999999999999
ORGANIZATION_TYPE_Self-employed,11.399999999999999
bureau_DAYS_CREDIT_mean,12.600000000000001
bureau_DAYS_CREDIT_max,59.599999999999994
bureau_DAYS_CREDIT_min,9.2
bureau_DAYS_CREDIT_sum,19.000000000000004
bureau_DAYS_CREDIT_ENDDATE_mean,9.4
bureau_DAYS_CREDIT_ENDDATE_max,62.0
bureau_DAYS_CREDIT_ENDDATE_min,6.6
bureau_DAYS_CREDIT_ENDDATE_sum,14.8
bureau_DAYS_ENDDATE_FACT_mean,7.6
bureau_DAYS_ENDDATE_FACT_max,36.599999999999994
bureau_DAYS_ENDDATE_FACT_min,7.2
bureau_DAYS_ENDDATE_FACT_sum,6.3999999999999995
bureau_AMT_CREDIT_SUM_mean,25.4
bureau_AMT_CREDIT_SUM_max,26.4
bureau_AMT_CREDIT_SUM_min,8.399999999999999
bureau_AMT_CREDIT_SUM_sum,24.200000000000003
bureau_AMT_CREDIT_SUM_DEBT_sum,62.8
bureau_AMT_CREDIT_SUM_LIMIT_mean,13.4
bureau_AMT_CREDIT_SUM_LIMIT_max,14.2
bureau_AMT_CREDIT_SUM_LIMIT_sum,6.6000000000000005
bureau_AMT_CREDIT_SUM_OVERDUE_max,21.0
bureau_DAYS_CREDIT_UPDATE_mean,6.6000000000000005
bureau_DAYS_CREDIT_UPDATE_max,9.200000000000001
bureau_DAYS_CREDIT_UPDATE_min,7.6
bureau_DAYS_CREDIT_UPDATE_sum,7.4
bureau_CREDIT_ACTIVE_Active_count,22.4
bureau_CREDIT_ACTIVE_Active_count_norm,3.5999999999999996
bureau_CREDIT_ACTIVE_Closed_count_norm,11.8
bureau_CREDIT_TYPE_Car loan_count_norm,10.399999999999999
bureau_CREDIT_TYPE_Consumer credit_count,3.2
bureau_CREDIT_TYPE_Consumer credit_count_norm,3.6
bureau_CREDIT_TYPE_Credit card_count,7.000000000000001
bureau_CREDIT_TYPE_Credit card_count_norm,4.6
bureau_CREDIT_TYPE_Microloan_count_norm,25.000000000000004
bureau_CREDIT_TYPE_Mortgage_count_norm,27.200000000000003
client_bureau_balance_MONTHS_BALANCE_count_mean,2.5999999999999996
client_bureau_balance_MONTHS_BALANCE_count_min,5.2
client_bureau_balance_MONTHS_BALANCE_count_sum,7.800000000000001
client_bureau_balance_MONTHS_BALANCE_mean_mean,2.8000000000000003
client_bureau_balance_MONTHS_BALANCE_mean_min,2.8
client_bureau_balance_MONTHS_BALANCE_max_mean,3.6000000000000005
client_bureau_balance_MONTHS_BALANCE_max_min,3.0
client_bureau_balance_MONTHS_BALANCE_max_sum,3.0
client_bureau_balance_MONTHS_BALANCE_min_mean,1.6
client_bureau_balance_MONTHS_BALANCE_sum_mean,1.7999999999999998
client_bureau_balance_MONTHS_BALANCE_sum_min,1.9999999999999998
client_bureau_balance_MONTHS_BALANCE_sum_sum,5.200000000000001
client_bureau_balance_STATUS_0_count_mean,6.2
client_bureau_balance_STATUS_0_count_max,4.4
client_bureau_balance_STATUS_0_count_sum,4.4
client_bureau_balance_STATUS_0_count_norm_mean,3.6000000000000005
client_bureau_balance_STATUS_0_count_norm_max,4.2
client_bureau_balance_STATUS_0_count_norm_min,7.000000000000001
client_bureau_balance_STATUS_0_count_norm_sum,5.999999999999999
client_bureau_balance_STATUS_1_count_norm_mean,18.0
client_bureau_balance_STATUS_C_count_mean,3.2
client_bureau_balance_STATUS_C_count_sum,3.2
client_bureau_balance_STATUS_C_count_norm_mean,3.0
client_bureau_balance_STATUS_C_count_norm_max,10.2
client_bureau_balance_STATUS_C_count_norm_sum,5.6
client_bureau_balance_STATUS_X_count_mean,5.6
client_bureau_balance_STATUS_X_count_min,6.599999999999999
client_bureau_balance_STATUS_X_count_norm_sum,4.800000000000001
previous_CHANNEL_TYPE_Channel of corporate sales_mean,14.399999999999999
previous_CODE_REJECT_REASON_SCO_mean,8.0
previous_CODE_REJECT_REASON_HC_mean,6.8
previous_NAME_GOODS_CATEGORY_Clothing and Accessories_mean,4.8
previous_CHANNEL_TYPE_Contact center_mean,2.6
previous_NAME_YIELD_GROUP_low_action_mean,27.2
previous_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_sum,4.199999999999999
previous_PRODUCT_COMBINATION_Cash Street: high_mean,6.0
previous_CHANNEL_TYPE_AP+ (Cash loan)_mean,6.2
previous_NAME_PRODUCT_TYPE_walk-in_mean,9.2
previous_PRODUCT_COMBINATION_Cash X-Sell: middle_mean,4.4
previous_PRODUCT_COMBINATION_Cash X-Sell: high_mean,12.799999999999999
previous_NAME_CONTRACT_STATUS_Refused_mean,39.199999999999996
previous_NAME_CONTRACT_STATUS_Canceled_mean,6.199999999999999
previous_CHANNEL_TYPE_Regional / Local_mean,1.0
previous_NAME_GOODS_CATEGORY_Furniture_mean,8.200000000000001
previous_NAME_SELLER_INDUSTRY_Furniture_mean,1.8
previous_PRODUCT_COMBINATION_POS industry with interest_mean,10.200000000000001
previous_PRODUCT_COMBINATION_POS household with interest_mean,2.6
previous_WEEKDAY_APPR_PROCESS_START_SUNDAY_mean,4.3999999999999995
previous_NAME_SELLER_INDUSTRY_Consumer electronics_mean,2.2
previous_PRODUCT_COMBINATION_Cash X-Sell: low_mean,21.200000000000003
previous_NAME_PRODUCT_TYPE_x-sell_mean,3.8
previous_NAME_CONTRACT_TYPE_Cash loans_mean,3.4000000000000004
previous_CHANNEL_TYPE_Credit and cash offices_mean,6.2
previous_NAME_TYPE_SUITE_Unaccompanied_mean,10.0
previous_NAME_YIELD_GROUP_middle_mean,3.0
previous_NAME_CLIENT_TYPE_New_mean,5.4
previous_CHANNEL_TYPE_Stone_mean,2.8
previous_WEEKDAY_APPR_PROCESS_START_SATURDAY_mean,5.0
previous_NAME_YIELD_GROUP_low_normal_mean,10.200000000000001
previous_NAME_PAYMENT_TYPE_XNA_mean,9.2
previous_PRODUCT_COMBINATION_POS mobile with interest_mean,0.6000000000000001
previous_NAME_YIELD_GROUP_high_mean,24.0
previous_NAME_YIELD_GROUP_high_sum,3.8
previous_NAME_GOODS_CATEGORY_Mobile_mean,3.4
previous_NAME_SELLER_INDUSTRY_Connectivity_mean,7.0
previous_NAME_CLIENT_TYPE_Refreshed_mean,6.6000000000000005
previous_NAME_TYPE_SUITE_Family_mean,3.4
previous_NAME_PAYMENT_TYPE_Cash through the bank_mean,3.4000000000000004
previous_NAME_PORTFOLIO_POS_mean,6.0
previous_NAME_PRODUCT_TYPE_XNA_mean,4.4
